id,ts,market,contract_type,algorithm,signal,stake,entry_price,exit_price,pnl,result,balance_after,contract_id,duration_ticks,notes
16,2026-04-03T03:08:43.234737,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 6.0% (expected 10%),1,1.0,9790.13,,,CANCELLED,,,,WebSocket is not connected
15,2026-04-03T03:08:43.171053,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 6.0% (expected 10%),1,1.0,9790.11,,,CANCELLED,,,,WebSocket is not connected
14,2026-04-03T03:08:43.120461,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 5.0% (expected 10%),1,1.0,9789.92,,,CANCELLED,,,,WebSocket is not connected
13,2026-04-03T03:08:43.076160,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 5.0% (expected 10%),1,1.0,9789.8,,,CANCELLED,,,,WebSocket is not connected
12,2026-04-03T03:08:43.019787,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 5.0% (expected 10%),1,1.0,9789.95,,,CANCELLED,,,,WebSocket is not connected
11,2026-04-03T03:08:42.958190,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 5.0% (expected 10%),1,1.0,9790.06,,,CANCELLED,,,,WebSocket is not connected
10,2026-04-03T03:08:42.900859,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 5.0% (expected 10%),1,1.0,9790.02,,,CANCELLED,,,,WebSocket is not connected
9,2026-04-03T03:08:42.852252,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 5.0% (expected 10%),1,1.0,9790.02,,,CANCELLED,,,,WebSocket is not connected
8,2026-04-03T03:08:42.801935,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 6.0% (expected 10%),1,1.0,9790.1,,,CANCELLED,,,,WebSocket is not connected
7,2026-04-03T03:08:42.744607,1HZ10V,CALL,EMA9 crossed above EMA21 | RSI=47.0,UP,1.0,9790.14,,,CANCELLED,,,,WebSocket is not connected
6,2026-04-03T03:08:42.684450,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 7.0% (expected 10%),1,1.0,9790.0,,,CANCELLED,,,,WebSocket is not connected
5,2026-04-03T03:08:42.641897,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 7.0% (expected 10%),1,1.0,9790.06,,,CANCELLED,,,,WebSocket is not connected
4,2026-04-03T03:08:42.597649,1HZ10V,ACCU,Calm for 8+ ticks | ATR=0.15050,None,1.0,9789.58,,,CANCELLED,,,,WebSocket is not connected
3,2026-04-03T03:08:42.541220,1HZ10V,ACCU,Calm for 8+ ticks | ATR=0.14500,None,1.0,9789.72,,,CANCELLED,,,,WebSocket is not connected
2,2026-04-03T03:08:42.483865,1HZ10V,ACCU,Calm for 8+ ticks | ATR=0.14200,None,1.0,9789.58,,,CANCELLED,,,,WebSocket is not connected
1,2026-04-03T03:08:22.365977,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 7.0% (expected 10%),1,1.0,9789.58,,,CANCELLED,,,,Request 4 timed out
